,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,mean,std
fit_time,1.442046880722046,2.2090516090393066,2.4762392044067383,1.5910403728485107,1.6241135597229004,1.6572868824005127,1.8197870254516602,2.0021767616271973,1.6724917888641357,1.6262154579162598,1.6692802906036377,1.61834716796875,1.7916195392608643,1.5654571056365967,1.7711102962493896,1.7690842628479004,0.2708598166779625
score_time,0.11514472961425781,0.14780569076538086,0.16318130493164062,0.10297369956970215,0.13000273704528809,0.10330009460449219,0.10731697082519531,0.1352097988128662,0.12161731719970703,0.12364459037780762,0.14193034172058105,0.12951922416687012,0.10733938217163086,0.14967632293701172,0.12113022804260254,0.1266528288523356,0.01829948083937625
test_accuracy,0.96,0.95875,0.9575,0.95,0.96125,0.96,0.9625,0.9525,0.94625,0.9625,0.95,0.9675,0.955,0.95875,0.9625,0.9576666666666667,0.005822268417361884
train_accuracy,0.9996875,1.0,0.9996875,0.9996875,0.9996875,0.9996875,0.9996875,0.9996875,0.9996875,1.0,1.0,0.9996875,1.0,0.9996875,0.9996875,0.9997708333333334,0.0001430430338178547
test_balanced_accuracy,0.96,0.95875,0.9575,0.95,0.9612499999999999,0.96,0.9625,0.9525,0.94625,0.9624999999999999,0.95,0.9675,0.9550000000000001,0.95875,0.9624999999999999,0.9576666666666667,0.0058222684173618615
train_balanced_accuracy,0.9996875000000001,1.0,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,1.0,1.0,0.9996875000000001,1.0,0.9996875000000001,0.9996875000000001,0.9997708333333334,0.00014304303381780387
test_f1_macro,0.95999599959996,0.9587494199137175,0.9574976092405199,0.9499921862791061,0.9612470329759621,0.9599937490232848,0.9625,0.9525,0.9462458844505283,0.9624941397093296,0.9499887474681803,0.967494921081419,0.9549862145281993,0.9587494199137175,0.9624997656235351,0.9576623393204975,0.005823681949368438
train_f1_macro,0.9996874999694825,1.0,0.9996874999694825,0.9996874999694825,0.9996874999694825,0.9996874999694825,0.9996874999694825,0.9996874999694825,0.9996874999694825,1.0,1.0,0.9996874999694825,1.0,0.9996874999694825,0.9996874999694825,0.9997708333109538,0.00014304304778685486
test_precision_macro,0.9601840736294518,0.9587758061390954,0.9576029606661498,0.950281425891182,0.9613913010859576,0.960287679799875,0.9625,0.9525,0.9463867059286907,0.9627892432770482,0.9504053648283455,0.9677923702313946,0.9555580586218118,0.9587758061390954,0.9625115627890697,0.9578494906018111,0.00579589932120035
train_precision_macro,0.9996876951905059,1.0,0.9996876951905059,0.9996876951905059,0.9996876951905059,0.9996876951905059,0.9996876951905059,0.9996876951905059,0.9996876951905059,1.0,1.0,0.9996876951905059,1.0,0.9996876951905059,0.9996876951905059,0.9997709764730376,0.00014295368776298144
test_recall_macro,0.96,0.95875,0.9575,0.95,0.9612499999999999,0.96,0.9625,0.9525,0.94625,0.9624999999999999,0.95,0.9675,0.9550000000000001,0.95875,0.9624999999999999,0.9576666666666667,0.0058222684173618615
train_recall_macro,0.9996875000000001,1.0,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,0.9996875000000001,1.0,1.0,0.9996875000000001,1.0,0.9996875000000001,0.9996875000000001,0.9997708333333334,0.00014304303381780387
test_roc_auc,0.9887718750000001,0.98984375,0.984309375,0.98470625,0.98085,0.98946875,0.9896874999999999,0.9860375,0.9871312499999999,0.98544375,0.98175,0.99036875,0.9883500000000001,0.987375,0.9867187499999999,0.9867208333333333,0.0029034072278111395
train_roc_auc,0.9999996093749999,1.0,1.0,0.999999609375,0.9999996093750001,0.999999609375,0.999999609375,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999996093750001,0.999999609375,0.9999998177083332,2.0171788260630928e-07
