question,answer
Czym jest rekurencja?,"('**Rekurencja** to technika programowania polegająca na definiowaniu funkcji (lub procedury) poprzez odwoływanie się przez nią do samej siebie w celu rozwiązania problemu.\n\n### Mechanizm działania\n\nDziałanie rekurencyjne polega na dzieleniu złożonego problemu na mniejsze, identyczne podproblemy. Funkcja wywołuje samą siebie z nowymi, uproszczonymi argumentami, aż do osiągnięcia najprostszej postaci, która może być rozwiązana bezpośrednio.\n\n**Warunek bazowy (Warunek stopu):** Jest to kluczowy element każdej rekurencji. Warunek bazowy to definicja najprostszego przypadku, który *nie* wywołuje funkcji rekurencyjnie, tym samym przerywając dalsze wywołania i zapobiegając nieskończonej pętli. Gdy warunek bazowy jest spełniony, wywołania zaczynają się zwijać ze stosu (stack), zwracając wyniki w odwrotnej kolejności.\n\n### Zastosowania\n\nRekurencja jest powszechnie stosowana w:\n\n1.  **Obliczeniach matematycznych:** Obliczanie silni ($n!$) i generowanie ciągu Fibonacciego.\n2.  **Algorytmach sortowania:** Algorytmy takie jak Quicksort i Mergesort.\n3.  **Strukturach danych:** Przetwarzanie i przeszukiwanie struktur drzewiastych oraz grafów.\n\n**Fakt dodatkowy:** Implementacja rekursywna jest często bardziej elegancka i intuicyjna niż iteracyjna, ale wiąże się z większym narzutem pamięciowym, ponieważ wymaga użycia stosu wywołań do przechowywania stanu każdego kolejnego wywołania funkcji.', False, 'None')"
Jak działa Garbage Collector w Javie?,"('Garbage Collector (GC) w Javie jest automatycznym systemem zarządzania pamięcią, który zwalnia miejsce na stercie (Heap) zajmowane przez obiekty, które nie są już dostępne (osiągalne) dla działającego programu. Eliminuje to potrzebę manualnego zarządzania pamięcią przez programistę.\n\n### Mechanizm Działania\n\nGC działa w dwóch podstawowych fazach:\n\n1.  **Faza Oznaczania (Marking):** GC identyfikuje tzw. ""korzenie"" (roots – zmienne lokalne, aktywne wątki, klasy załadowane), a następnie śledzi wszystkie połączenia wychodzące od tych korzeni. Każdy obiekt, do którego można dotrzeć z korzenia, jest oznaczany jako *żywy*.\n2.  **Faza Usuwania/Kompaktowania (Sweep/Compact):** Obiekty, które pozostały nieoznaczone (niedostępne), są usuwane, a ich pamięć jest zwalniana. Niektóre algorytmy (np. CMS) wykonują tylko usuwanie (Sweep), pozostawiając fragmentację, podczas gdy inne (np. G1) lub operacje w Starej Generacji wykonują **Kompaktowanie**, przesuwając żywe obiekty, aby skonsolidować wolną pamięć.\n\n### Kluczowe Koncepcje (Generacje)\n\nWiększość implementacji GC wykorzystuje **Hipotezę Generacyjną** (Generational Hypothesis), która zakłada, że większość obiektów umiera młodo. Z tego powodu sterta Javy jest podzielona na generacje, aby optymalizować czas czyszczenia:\n\n*   **Młoda Generacja (Young Generation):** Przeznaczona dla nowo utworzonych obiektów. Czyszczenie jest szybkie (Minor GC). Składa się ze Strefy Eden oraz dwóch Stref Ocalałych (Survivor Spaces).\n*   **Stara Generacja (Old/Tenured Generation):** Obiekty, które przeżyły wystarczająco dużo cykli Minor GC, są przenoszone do tej strefy. Czyszczenie (Major GC) jest rzadsze, ale zwykle trwa dłużej.\n\n### Popularne Algorytmy GC (w środowisku JVM)\n\nW zależności od priorytetów (przepustowość vs. czas pauzy), JVM oferuje różne algorytmy:\n\n1.  **Serial GC:** Najprostszy, jednowątkowy, często używany w małych aplikacjach klienckich.\n2.  **Parallel GC (Throughput Collector):** Wykorzystuje wiele wątków do czyszczenia, optymalizując ogólną przepustowość aplikacji.\n3.  **CMS (Concurrent Mark Sweep):** Algorytm zorientowany na niskie czasy pauzy, wykonujący większość pracy *równolegle* z aplikacją (obecnie oznaczony jako przestarzały).\n4.  **G1 (Garbage First):** Obecnie domyślny w wielu wersjach Javy. Dzieli stertę na regiony i próbuje zminimalizować czas pauzy, koncentrując się na czyszczeniu regionów z największą ilością śmieci.\n\n**Dodatkowy fakt:** Podczas gdy nowoczesne algorytmy (G1, ZGC) dążą do minimalizacji przerw, każdy cykl zbierania pamięci musi zawierać moment **""Stop-the-World"" (STW)**, w którym wszystkie wątki aplikacji są zatrzymywane, aby GC mógł bezpiecznie ustalić stan obiektu i zaktualizować wskaźniki.', False, 'None')"
Co to jest REST API?,"('**REST API** (Representational State Transfer Application Programming Interface) to styl architektoniczny do projektowania rozproszonych systemów hipermedialnych (takich jak Internet). Został sformalizowany przez Roya Fieldinga w 2000 roku.\n\n### Kluczowe Zasady (Ograniczenia) Architektury REST\n\nAby interfejs API był uważany za ""RESTful"", musi przestrzegać zestawu ograniczeń, w tym:\n\n1.  **Klient-Serwer (Client-Server):** Separacja interesów między interfejsem użytkownika a magazynem danych.\n2.  **Bezstanowość (Stateless):** Każde żądanie od klienta do serwera musi zawierać wszystkie informacje niezbędne do jego zrozumienia i przetworzenia. Serwer nie może przechowywać żadnego kontekstu klienta między kolejnymi żądaniami.\n3.  **Możliwość buforowania (Cacheable):** Odpowiedzi muszą być jawnie oznaczone jako buforowalne lub niebuforowalne, aby poprawić wydajność.\n4.  **Ujednolicony interfejs (Uniform Interface):** Jest to kluczowe ograniczenie. Wymaga on:\n    *   Identyfikacji zasobów (Resources) – wszystkie zasoby są identyfikowane przez URI.\n    *   Manipulacji zasobami poprzez reprezentacje (Representations).\n    *   Wiadomości opisujących się samodzielnie (Self-descriptive Messages).\n    *   HATEOAS (Hypermedia As The Engine of Application State) – Serwer powinien dostarczać hiperłącza, umożliwiając klientowi nawigację po API bez wcześniejszej znajomości jego struktury.\n\n### Metody HTTP w Komunikacji REST-owej\n\nREST wykorzystuje standardowe metody protokołu HTTP do wykonywania operacji na zasobach (CRUD – Create, Read, Update, Delete):\n\n| Metoda HTTP | Odpowiednik CRUD | Działanie na zasobie |\n| :---------- | :--------------- | :------------------- |\n| **GET**     | Read             | Pobieranie (odczyt) reprezentacji zasobu. |\n| **POST**    | Create           | Tworzenie nowego zasobu. |\n| **PUT**     | Update           | Zastąpienie/aktualizacja całego zasobu. |\n| **DELETE**  | Delete           | Usunięcie zasobu. |\n| **PATCH**   | Update (Partial) | Częściowa modyfikacja zasobu. |\n\n**Dodatkowy fakt:** Najczęściej używanymi formatami danych do wymiany reprezentacji zasobów w REST API są **JSON** (JavaScript Object Notation) oraz, rzadziej, XML. JSON stał się de facto standardem ze względu na jego lekkość i łatwość parsowania.', False, 'None')"
Jaka jest różnica między listą a krotką w Pythonie?,"(""Kluczową różnicą między listą (list) a krotką (tuple) w Pythonie jest ich **mutowalność** (zmienność).\n\nLista jest **mutowalna** – jej elementy można zmieniać, dodawać lub usuwać po utworzeniu. Krotka jest **niemutowalna** – raz utworzona, jej zawartość nie może być zmieniona.\n\n| Cecha | Lista (List) | Krotka (Tuple) |\n| :--- | :--- | :--- |\n| **Mutowalność** | Zmienna (Mutable) | Niezmienna (Immutable) |\n| **Konstrukcja** | Nawiasy kwadratowe `[ ]` | Nawiasy okrągłe `( )` |\n\n### Konstrukcja Składniowa\n\n*   **Lista:** `moja_lista = [1, 'a', 3.14]`\n*   **Krotka:** `moja_krotka = (1, 'a', 3.14)` (Nawiasy okrągłe są opcjonalne, ale zalecane dla czytelności).\n\n### Wpływ Różnicy na Wydajność\n\nPonieważ krotki są niemutowalne:\n\n1.  **Wydajność (Performance):** Krotki są nieznacznie szybsze w dostępie i iteracji niż listy, ponieważ interpreter Pythona może dokonywać większej optymalizacji, wiedząc, że ich rozmiar i zawartość się nie zmienią.\n2.  **Zużycie Pamięci:** Krotki wymagają mniej pamięci niż listy.\n3.  **Bezpieczeństwo (Hashowalność):** Krotki mogą być używane jako klucze w słownikach (ponieważ są hashowalne), podczas gdy listy nie mogą.\n\n### Scenariusze Zastosowania\n\n| Struktura | Typowe Scenariusze Zastosowania |\n| :--- | :--- |\n| **Lista** | Kolekcje, które wymagają częstej modyfikacji, zarządzanie dynamicznymi zbiorami danych (np. kolejka, stos). |\n| **Krotka** | Stałe zbiory danych, rekordy (np. współrzędne geograficzne), funkcja zwracająca wiele wartości, przekazywanie danych do funkcji, gdzie nie chcemy, aby zostały one przypadkowo zmienione. |\n\n**Dodatkowy fakt:** Pomimo tego, że krotki są niemutowalne, jeśli krotka zawiera obiekty mutowalne (np. listę), zawartość tego zagnieżdżonego obiektu mutowalnego może być zmieniona, chociaż sama krotka i jej referencja pozostają stałe."", False, 'None')"
Do czego służy polecenie git commit?,"('Polecenie `git commit` służy do **trwałego zapisania (utrwalenia) bieżącego stanu plików** w lokalnym repozytorium Git. Każde zatwierdzenie tworzy migawkę projektu w określonym momencie, budując tym samym historyczną linię zmian.\n\n### Relacja ze Staging Area\n\n`git commit` nie zapisuje automatycznie wszystkich zmian wprowadzonych w katalogu roboczym. Zapisuje tylko te zmiany, które zostały uprzednio przygotowane i dodane do **Staging Area (Indeksu)** za pomocą polecenia `git add`.\n\n*   **Proces:** Modyfikujesz pliki w katalogu roboczym $\\rightarrow$ Używasz `git add` do wybrania konkretnych zmian do Staging Area $\\rightarrow$ Używasz `git commit` do zapisania zawartości Staging Area jako nowej, niezmiennej wersji projektu.\n\n### Wymagane Elementy Commitu\n\nKażde zatwierdzenie (commit) w Git musi zawierać:\n\n1.  **Migawkę (Snapshot):** Dokładny stan plików znajdujących się w Staging Area.\n2.  **Metadane:**\n    *   **Unikalny Hash (SHA-1):** Identyfikator commita.\n    *   **Wskaźnik Rodzica (Parent Pointer):** Referencja do poprzedniego commita, co tworzy historię.\n    *   **Autor i Datownik (Author and Timestamp).**\n3.  **Wiadomość (Commit Message):** Krótki opis zmian wprowadzonych w tym commicie.\n\n### Zalety dla Historii Projektu\n\nGłówną zaletą użycia `git commit` jest tworzenie **niezmiennej, czytelnej i śledzalnej historii projektu**. Pozwala to:\n\n*   Łatwo wracać do poprzednich, działających stanów projektu (rollback).\n*   Lokalizować błędy (np. używając `git bisect`).\n*   Zrozumieć, dlaczego dana zmiana została wprowadzona (dzięki treści wiadomości).\n\n**Fakt dodatkowy:** Wiadomość commita powinna składać się z krótkiego podsumowania (maks. 50 znaków) i opcjonalnego, bardziej szczegółowego opisu oddzielonego pustą linią. Jest to konwencja ułatwiająca przeglądanie historii.', False, 'None')"
Czym jest SQL Injection?,"(""**SQL Injection (SQLi)** to jeden z najczęstszych typów ataków cybernetycznych, polegający na wstrzykiwaniu złośliwego kodu SQL (Structured Query Language) do zapytania, które ma być wykonane w bazie danych.\n\n### Mechanizm Działania\n\nAtak wykorzystuje luki w aplikacjach, które bezpośrednio wklejają dane wejściowe użytkownika (np. z formularzy logowania, pól wyszukiwania) do dynamicznie budowanych zapytań SQL, bez odpowiedniego oczyszczania i walidacji tych danych.\n\n**Przykład luki:**\n\nJeśli oryginalne zapytanie brzmi:\n`SELECT * FROM users WHERE username = 'WPROWADZONY_TEKST' AND password = '...';`\n\nAtakujący może wprowadzić tekst: `' OR '1'='1`\n\nco zmieni zapytanie wykonywane przez serwer na:\n`SELECT * FROM users WHERE username = '' OR '1'='1' AND password = '...';`\n\nPonieważ `'1'='1'` jest zawsze prawdziwe, zapytanie może ominąć weryfikację hasła lub zwrócić całą tabelę użytkowników.\n\n### Potencjalne Konsekwencje\n\nSkutki udanego ataku SQLi mogą być katastrofalne dla organizacji:\n\n1.  **Ujawnienie i kradzież danych:** Wyciągnięcie całej zawartości bazy danych (np. danych klientów, haseł, informacji finansowych).\n2.  **Modyfikacja/Uszkodzenie danych:** Zmiana lub usunięcie danych (np. zmiana uprawnień użytkowników, usunięcie tabel).\n3.  **Wzrost uprawnień:** Przejęcie konta administracyjnego.\n4.  **Odmowa usługi (DoS):** Zablokowanie działania aplikacji poprzez wykonanie nadmiernie złożonych zapytań.\n\n### Metody Zapobiegania\n\nPodstawową zasadą jest nigdy nie ufanie danym wejściowym od użytkownika. Kluczowe metody obrony to:\n\n1.  **Parametryzowane Zapytania (Prepared Statements):** Użycie zmiennych wiązanych (placeholders) zamiast konkatenacji stringów. Pozwala to na oddzielenie logiki zapytania SQL od danych. Interpreter bazy danych traktuje wstrzyknięte dane jako literalne wartości, a nie jako część kodu.\n2.  **Walidacja Danych Wejściowych:** Sprawdzanie, czy dane wprowadzone przez użytkownika mają oczekiwany format, typ i długość (np. numery są tylko numeryczne).\n3.  **Zasada Najmniejszego Uprawnienia (Principle of Least Privilege):** Użytkownik bazy danych używany przez aplikację powinien mieć tylko minimalne uprawnienia niezbędne do działania (np. brak możliwości usuwania tabel, jeśli nie jest to wymagane).\n\n**Fakt dodatkowy:** Ataki SQL Injection są tak poważne, że konsekwentnie zajmują czołowe miejsca na liście **OWASP Top 10** (najważniejszych zagrożeń bezpieczeństwa aplikacji webowych)."", False, 'None')"
Co oznacza akronim SOLID?,"('Akronim **SOLID** jest zbiorem pięciu podstawowych zasad projektowania obiektowego, które mają na celu tworzenie systemów łatwiejszych w utrzymaniu, skalowalnych i elastycznych. Zasady te zostały skodyfikowane przez Roberta C. Martina (""Uncle Bob"").\n\n### Rozwinięcie Akronimu SOLID\n\n| Litera | Pełna Nazwa (Zasada) |\n| :--- | :--- |\n| **S** | **Single Responsibility Principle** (Zasada Pojedynczej Odpowiedzialności) |\n| **O** | **Open/Closed Principle** (Zasada Otwarte/Zamknięte) |\n| **L** | **Liskov Substitution Principle** (Zasada Podstawienia Liskov) |\n| **I** | **Interface Segregation Principle** (Zasada Segregacji Interfejsów) |\n| **D** | **Dependency Inversion Principle** (Zasada Odwrócenia Zależności) |\n\n### Cel Zastosowania w Inżynierii Oprogramowania\n\nStosowanie zasad SOLID ma na celu redukcję złożoności kodu, minimalizację zależności między modułami oraz ułatwienie refaktoryzacji i wprowadzania nowych funkcjonalności. W rezultacie powstaje kod: **luźno sprzężony (loosely coupled)** i **spójny (highly cohesive)**.\n\n### Krótki Opis Zasad\n\n**S – Single Responsibility Principle (Pojedyncza Odpowiedzialność):**\nKlasa powinna mieć tylko jeden powód do zmiany, co oznacza, że powinna być odpowiedzialna za jeden, jasno określony aspekt funkcjonalności.\n\n**O – Open/Closed Principle (Otwarte/Zamknięte):**\nJednostki oprogramowania (klasy, moduły) powinny być **otwarte na rozszerzenia**, ale **zamknięte na modyfikacje**. Oznacza to, że nową funkcjonalność należy dodawać przez rozszerzanie (dziedziczenie/implementację), a nie poprzez zmianę istniejącego, przetestowanego kodu.\n\n**L – Liskov Substitution Principle (Podstawienie Liskov):**\nObiekty w programie powinny być możliwe do zastąpienia instancjami ich podtypów (klas pochodnych) bez naruszania poprawności działania programu. W skrócie: typy pochodne muszą być w pełni kompatybilne z typami bazowymi.\n\n**I – Interface Segregation Principle (Segregacja Interfejsów):**\nInterfejsy powinny być wąskie i specyficzne dla klienta. Klasa nie powinna być zmuszana do implementowania metod, których nie używa. Lepiej mieć wiele małych, spójnych interfejsów niż jeden duży.\n\n**D – Dependency Inversion Principle (Odwrócenie Zależności):**\nModuły wysokiego poziomu nie powinny zależeć od modułów niskiego poziomu. Oba powinny zależeć od **abstrakcji** (interfejsów). Abstrakcje nie powinny zależeć od szczegółów; szczegóły powinny zależeć od abstrakcji.\n\n**Dodatkowy fakt:** Choć Robert C. Martin skodyfikował i spopularyzował SOLID, twórczynią Zasady Podstawienia (L) jest w rzeczywistości amerykańska informatyczka **Barbara Liskov**.', False, 'None')"
Czym jest Docker?,"('**Docker** to otwarta platforma do rozwijania, dostarczania i uruchamiania aplikacji w kontenerach. Konteneryzacja pozwala na zapakowanie aplikacji wraz z całym jej środowiskiem (bibliotekami, zależnościami i konfiguracją) w jeden, przenośny i izolowany pakiet.\n\n### Kluczowa Różnica: Kontenery vs. Maszyny Wirtualne (VM)\n\nGłówna różnica polega na sposobie współdzielenia zasobów i izolacji.\n\n| Cecha | Kontenery Docker | Maszyny Wirtualne (VM) |\n| :--- | :--- | :--- |\n| **System Operacyjny** | Współdzielą system operacyjny hosta i jądro (kernel). | Każda VM ma własny, pełny system operacyjny gościa. |\n| **Warstwa Wirtualizacji** | Silnik kontenerowy (np. Docker Engine) | Hypervisor (np. VMware, VirtualBox) |\n| **Rozmiar** | Bardzo małe (megabajty) | Duże (gigabajty) |\n| **Start** | Prawie natychmiastowy (sekundy) | Długi (minuty) |\n| **Izolacja** | Izolacja na poziomie procesów i jądra. | Pełna izolacja sprzętowa i systemowa. |\n\nKontenery są znacznie lżejsze, ponieważ eliminują narzut związany z uruchamianiem pełnego systemu operacyjnego w każdym przypadku.\n\n### Podstawowe Elementy Ekosystemu Docker\n\nEkosystem Docker opiera się na dwóch głównych elementach:\n\n1.  **Obrazy (Images):**\n    *   Są to **szablony** zawierające wszystkie instrukcje i warstwy potrzebne do uruchomienia aplikacji (kod, środowisko uruchomieniowe, biblioteki, zmienne środowiskowe).\n    *   Obraz jest **niemutowalny** (read-only).\n    *   Są budowane za pomocą pliku **Dockerfile**.\n2.  **Kontenery (Containers):**\n    *   Są to **uruchomione instancje** obrazów.\n    *   Są lekkimi, izolowanymi środowiskami wykonawczymi.\n    *   Wszelkie zmiany wprowadzone w działającym kontenerze są zapisywane w **zapisywalnej warstwie** (writable layer) na górze niemutowalnego obrazu.\n\n**Dodatkowy fakt:** Docker wykorzystuje mechanizmy jądra Linux, takie jak **cgroups** (do zarządzania i ograniczania zasobów) oraz **namespaces** (do izolacji procesów i sieci), aby osiągnąć lekkość i izolację kontenerów.', False, 'None')"
Co to jest złożoność obliczeniowa Big O?,"('**Złożoność obliczeniowa Big O (Duże O)** jest notacją matematyczną używaną w informatyce do opisu **granicy tempa wzrostu** czasu działania (lub wykorzystania pamięci) algorytmu w miarę wzrostu wielkości danych wejściowych ($n$). Określa ona **najgorszy przypadek** (worst-case scenario) działania algorytmu.\n\n### Co mierzy Big O?\n\nNotacja Big O mierzy **skalowanie** algorytmu. Nie podaje dokładnego czasu wykonania w sekundach, ale określa, jak wydajność algorytmu zmienia się proporcjonalnie do wielkości problemu ($n$).\n\nW analizie złożoności Big O koncentruje się na:\n\n1.  **Dominujących Wyrazach:** Ignorowane są stałe współczynniki i wyrazy niższego rzędu, ponieważ w przypadku bardzo dużych $n$ mają one znikomy wpływ na wynik końcowy.\n2.  **Czas a $n$:** Mierzona jest liczba operacji, które musi wykonać algorytm w funkcji liczby elementów wejściowych.\n\n### Najczęściej Spotykane Klasy Złożoności\n\nKlasy złożoności są uszeregowane od najbardziej pożądanych (najszybszych) do najmniej pożądanych (najwolniejszych) w miarę wzrostu $n$:\n\n| Notacja Big O | Nazwa | Przykład |\n| :--- | :--- | :--- |\n| $\\text{O}(1)$ | Stała | Dostęp do elementu tablicy po indeksie. |\n| $\\text{O}(\\log n)$ | Logarytmiczna | Wyszukiwanie binarne. |\n| $\\text{O}(n)$ | Liniowa | Przeglądanie wszystkich elementów listy. |\n| $\\text{O}(n \\log n)$ | Liniowo-logarytmiczna | Wydajne algorytmy sortowania (np. Mergesort, Quicksort). |\n| $\\text{O}(n^2)$ | Kwadratowa | Proste algorytmy sortowania (np. Bubble Sort). |\n| $\\text{O}(2^n)$ | Wykładnicza | Niektóre problemy rekurencyjne (np. naiwna rekurencja Fibonacciego). |\n\n### Kluczowe Znaczenie w Projektowaniu Algorytmów\n\nBig O jest kluczowe, ponieważ umożliwia programistom:\n\n1.  **Porównywanie Algorytmów:** Pozwala na obiektywną ocenę, który algorytm jest lepszy dla danego zestawu danych, niezależnie od specyfikacji sprzętowej komputera.\n2.  **Przewidywanie Wydajności:** Umożliwia prognozowanie, jak zachowa się aplikacja, gdy ilość przetwarzanych danych drastycznie wzrośnie.\n3.  **Optymalizację:** Identyfikowanie wąskich gardeł i nieefektywnych fragmentów kodu, które dominują w całkowitym czasie działania.\n\n**Fakt dodatkowy:** Oprócz Big O ($\\text{O}$, miara pesymistyczna), istnieją inne notacje opisujące granice złożoności: **Big Omega ($\\Omega$)** opisująca dolną granicę (najlepszy przypadek) oraz **Big Theta ($\\Theta$)** opisująca ścisłą granicę (gdy najlepszy i najgorszy przypadek mają ten sam rząd złożoności).', False, 'None')"
Na czym polega dziedziczenie w OOP?,"('**Złożoność obliczeniowa Big O (Duże O)** jest notacją matematyczną używaną w informatyce do opisu **granicy tempa wzrostu** czasu działania (lub wykorzystania pamięci) algorytmu w miarę wzrostu wielkości danych wejściowych ($n$). Określa ona **najgorszy przypadek** (worst-case scenario) działania algorytmu.\n\n### Co mierzy Big O?\n\nNotacja Big O mierzy **skalowanie** algorytmu. Nie podaje dokładnego czasu wykonania w sekundach, ale określa, jak wydajność algorytmu zmienia się proporcjonalnie do wielkości problemu ($n$).\n\nW analizie złożoności Big O koncentruje się na:\n\n1.  **Dominujących Wyrazach:** Ignorowane są stałe współczynniki i wyrazy niższego rzędu, ponieważ w przypadku bardzo dużych $n$ mają one znikomy wpływ na wynik końcowy.\n2.  **Czas a $n$:** Mierzona jest liczba operacji, które musi wykonać algorytm w funkcji liczby elementów wejściowych.\n\n### Najczęściej Spotykane Klasy Złożoności\n\nKlasy złożoności są uszeregowane od najbardziej pożądanych (najszybszych) do najmniej pożądanych (najwolniejszych) w miarę wzrostu $n$:\n\n| Notacja Big O | Nazwa | Przykład |\n| :--- | :--- | :--- |\n| $\\text{O}(1)$ | Stała | Dostęp do elementu tablicy po indeksie. |\n| $\\text{O}(\\log n)$ | Logarytmiczna | Wyszukiwanie binarne. |\n| $\\text{O}(n)$ | Liniowa | Przeglądanie wszystkich elementów listy. |\n| $\\text{O}(n \\log n)$ | Liniowo-logarytmiczna | Wydajne algorytmy sortowania (np. Mergesort, Quicksort). |\n| $\\text{O}(n^2)$ | Kwadratowa | Proste algorytmy sortowania (np. Bubble Sort). |\n| $\\text{O}(2^n)$ | Wykładnicza | Niektóre problemy rekurencyjne (np. naiwna rekurencja Fibonacciego). |\n\n### Kluczowe Znaczenie w Projektowaniu Algorytmów\n\nBig O jest kluczowe, ponieważ umożliwia programistom:\n\n1.  **Porównywanie Algorytmów:** Pozwala na obiektywną ocenę, który algorytm jest lepszy dla danego zestawu danych, niezależnie od specyfikacji sprzętowej komputera.\n2.  **Przewidywanie Wydajności:** Umożliwia prognozowanie, jak zachowa się aplikacja, gdy ilość przetwarzanych danych drastycznie wzrośnie.\n3.  **Optymalizację:** Identyfikowanie wąskich gardeł i nieefektywnych fragmentów kodu, które dominują w całkowitym czasie działania.\n\n**Fakt dodatkowy:** Oprócz Big O ($\\text{O}$, miara pesymistyczna), istnieją inne notacje opisujące granice złożoności: **Big Omega ($\\Omega$)** opisująca dolną granicę (najlepszy przypadek) oraz **Big Theta ($\\Theta$)** opisująca ścisłą granicę (gdy najlepszy i najgorszy przypadek mają ten sam rząd złożoności).', True, 'None')"
